Date,Open,High,Low,Close,Volume,OpenInt
20140925,12.25,17.47,12.001,13.15,283383,0
20140926,12.84,12.84,10.14,11.75,30340,0
20140929,11.51,11.75,10.5,10.5,5970,0
20140930,10.2,10.35,9.51,10.25,13568,0
20141001,10.25,10.25,9.65,10.1,4340,0
20141002,10.24,10.65,9.731,9.75,7632,0
20141003,9.76,9.76,9.15,9.74,6050,0
20141006,9.24,9.25,8.51,8.63,6907,0
20141007,9,9.05,8.32,8.32,1751,0
20141008,9,9,8.17,9,4505,0
20141009,8.77,8.83,8.77,8.821,751,0
20141010,8.76,9.79,8.75,9,2810,0
20141013,9.09,9.09,9.09,9.09,178,0
20141014,9.14,9.15,8.75,8.75,4700,0
20141015,8.419,8.9281,8.419,8.9281,1190,0
20141016,8.29,9.04,8.25,8.966,3100,0
20141017,8.72,8.7376,8.55,8.7016,1310,0
20141020,8.5703,8.5703,8.5,8.5,838,0
20141021,8.53,8.99,8.19,8.63,11106,0
20141022,8.78,8.79,8.78,8.79,200,0
20141023,8.79,9,8.63,8.9,7121,0
20141024,9.05,9.05,9.05,9.05,825,0
20141027,9.11,9.11,9,9.05,2750,0
20141028,9.099,9.099,8.68,8.73,7081,0
20141029,8.6601,8.71,8.6601,8.69,1300,0
20141030,9,9.0551,9,9.0551,1000,0
20141031,9.089,9.0999,9,9.0699,1400,0
20141104,9,9.08,8.96,9.08,1533,0
20141105,8.9,9.1,8.75,8.9,1100,0
20141106,8.6214,9.05,8.6214,9.05,1500,0
20141107,9.05,9.15,9.05,9.15,3920,0
20141110,9.1899,9.1899,9.1899,9.1899,750,0
20141111,9.2,9.24,8.8,9.24,1620,0
20141112,9.24,9.24,9.22,9.24,1735,0
20141113,9.22,9.22,9.001,9.22,2350,0
20141114,9.19,9.19,9.13,9.13,3880,0
20141117,8.84,9.18,8.8,9.18,5398,0
20141118,9.04,9.15,8.86,9.15,2300,0
20141119,9.08,9.15,9.05,9.05,6648,0
20141120,9.06,9.14,9.05,9.14,3599,0
20141121,9.18,9.18,9.05,9.18,1795,0
20141124,9.04,9.16,9,9.01,5998,0
20141125,9.05,9.17,9,9,2524,0
20141126,8.75,9.1,8.75,9.04,1390,0
20141128,8.9799,8.9799,8.87,8.87,1200,0
20141201,8.26,8.26,8.15,8.2,2401,0
20141202,8.5,8.5,8.5,8.5,211,0
20141203,8.7944,9.04,8.5001,8.5001,1260,0
