Date,Open,High,Low,Close,Volume,OpenInt
20121210,0.85,1.166,0.85,1.03,115615,0
20121211,1.1,1.8,1.1,1.5,401298,0
20121212,1.6,1.6399,1.25,1.4,101750,0
20121213,1.4,1.4,1.36,1.37,37227,0
20121214,1.38,1.38,1.3,1.33,5350,0
20121217,1.38,1.4,1.3,1.35,40012,0
20121218,1.34,1.37,1.3,1.34,14079,0
20121219,1.34,1.34,1.25,1.27,35920,0
20121220,1.3,1.37,1.3,1.37,47285,0
20121221,1.35,1.45,1.35,1.4,40800,0
20121224,1.37,1.4,1.37,1.3801,21300,0
20121226,1.3699,1.4,1.3699,1.39,6900,0
20121227,1.4,1.6,1.4,1.45,13850,0
20121228,1.48,1.5,1.45,1.45,33910,0
20121231,1.4692,1.4692,1.42,1.42,8700,0
20130102,1.7,1.7,1.7,1.7,2000,0
20130103,1.39,1.55,1.39,1.55,1800,0
20130104,1.7,1.7,1.6,1.6,200,0
20130107,1.35,1.5,1.35,1.5,1775,0
20130108,1.5,1.5,1.499,1.5,1300,0
20130109,1.5,1.5,1.45,1.45,11193,0
20130110,1.5,1.55,1.5,1.5,4750,0
20130111,1.5,1.55,1.5,1.5465,68700,0
20130114,1.46,1.46,1.45,1.45,1000,0
20130116,1.454,1.4618,1.454,1.4601,866,0
20130118,1.55,1.55,1.5,1.5,2300,0
20130122,1.6001,1.6001,1.6001,1.6001,350,0
20130123,1.65,1.65,1.6,1.6,2600,0
20130124,1.66,1.664,1.66,1.664,2300,0
20130125,1.66,1.6654,1.66,1.66,4000,0
20130128,1.715,1.7163,1.66,1.69,28800,0
20130129,1.7658,1.7658,1.66,1.66,18540,0
20130130,1.67,1.68,1.67,1.68,1200,0
20130131,1.67,1.67,1.65,1.65,3900,0
20130201,1.67,1.69,1.55,1.55,5350,0
20130204,1.66,1.66,1.6,1.6,3200,0
20130206,1.65,1.65,1.55,1.617,2900,0
20130208,1.6,1.65,1.55,1.65,4600,0
20130211,1.65,1.68,1.45,1.6,6100,0
20130212,1.6,1.6,1.5,1.5999,7800,0
20130213,1.6,1.6,1.6,1.6,800,0
20130214,1.45,1.6,1.45,1.5538,3000,0
20130215,1.55,1.55,1.5,1.5,6000,0
20130219,1.65,1.65,1.6,1.6,17378,0
20130221,1.46,1.46,1.4499,1.45,10835,0
20130222,1.43,1.5,1.4265,1.4965,4000,0
20130225,1.4,1.4,1.35,1.4,1500,0
20130226,1.4,1.4,1.4,1.4,150,0
20130228,0.65,1.6,0.65,1.59,2138,0
20130301,1.5,1.5,1.5,1.5,6250,0
20130304,1.55,1.55,1.5499,1.5499,1000,0
20130305,1.59,1.59,1.41,1.45,44205,0
20130306,1.455,1.49,1.4101,1.4667,20280,0
20130307,1.6,1.65,1.41,1.41,41029,0
20130308,1.59,1.61,1.5,1.5,39819,0
20130311,1.57,1.58,1.5,1.573,16050,0
20130312,1.57,1.57,1.5,1.5001,4500,0
20130313,1.5,1.55,1.5,1.55,5100,0
20130315,1.55,1.55,1.55,1.55,200,0
20130318,1.5,1.5463,1.5,1.54,3890,0
20130319,1.52,1.54,1.52,1.54,10000,0
20130320,1.53,1.55,1.53,1.55,2200,0
20130321,1.58,1.58,1.58,1.58,1000,0
20130322,1.65,1.65,1.58,1.65,13700,0
20130325,1.56,1.58,1.55,1.58,1000,0
20130326,1.601,1.601,1.58,1.58,2000,0
20130327,1.58,1.645,1.58,1.62,5900,0
20130401,1.62,1.65,1.62,1.65,10000,0
20130402,1.6,1.6147,1.6,1.6,6500,0
20130403,1.65,1.65,1.6499,1.6499,4000,0
20130405,1.6,1.6,1.6,1.6,1000,0
20130408,1.65,1.75,1.65,1.75,18430,0
20130409,2,2,1.84,1.9999,7650,0
20130410,2.15,2.3,1.8,1.8,6000,0
20130416,2,2.5,2,2.33,9085,0
20130417,2.5,2.5,2.25,2.292,16440,0
20130418,2.25,2.3,2.25,2.25,4593,0
